# ----------------------------------------
# 報表數據匯報
# 帳戶：HsiungShao
# 資源：MultiStream Hub relese
# ----------------------------------------
#  
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0

#  
# 開始日期：20251203
# 結束日期：20260113
同類群組,活躍使用者
0000,1
0001,0.10407239819004525
0002,0.04242424242424243
0003,0.03206106870229008
0004,0.022970903522205207
0005,0.032357473035439135
0006,0.020186335403726708
0007,0.017080745341614908
0008,0.009419152276295133
0009,0.009884678747940691
0010,0.0049586776859504135
0011,0.008333333333333333
0012,0.006688963210702341
0013,0.00684931506849315
0014,0.005405405405405406
0015,0.00625
0016,0.008385744234800839
0017,0.006355932203389831
0018,0.008547008547008548
0019,0.004366812227074236
0020,0.006666666666666667
0021,0
0022,0
0023,0.005115089514066497
0024,0.005235602094240838
0025,0.00821917808219178
0026,0.002881844380403458
0027,0
0028,0.0033003300330033004
0029,0.0035211267605633804
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0.013333333333333334
0036,0
0037,0
0038,0
0039,0
0040,NaN
0041,NaN

#  
# 開始日期：20251206
# 結束日期：20260114
第 N 天,DAU/MAU,DAU/WAU,WAU/MAU
0000,1,1,1
0001,0.5135135135135135,0.5135135135135135,1
0002,0.41379310344827586,0.41379310344827586,1
0003,0.18840579710144928,0.18840579710144928,1
0004,0.17721518987341772,0.17721518987341772,1
0005,0.10714285714285714,0.10714285714285714,1
0006,0.08888888888888889,0.08888888888888889,1
0007,0.22807017543859648,0.2708333333333333,0.8421052631578947
0008,0.46919431279620855,0.553072625698324,0.8483412322274881
0009,0.2099236641221374,0.2644230769230769,0.7938931297709924
0010,0.10416666666666667,0.13452914798206278,0.7743055555555556
0011,0.09446254071661238,0.12446351931330472,0.758957654723127
0012,0.05362776025236593,0.07203389830508475,0.7444794952681388
0013,0.11396011396011396,0.15151515151515152,0.7521367521367521
0014,0.06504065040650407,0.09125475285171103,0.7127371273712737
0015,0.05699481865284974,0.11764705882352941,0.4844559585492228
0016,0.04556962025316456,0.1232876712328767,0.369620253164557
0017,0.034482758620689655,0.10526315789473684,0.3275862068965517
0018,0.03140096618357488,0.11016949152542373,0.28502415458937197
0019,0.10964912280701754,0.33112582781456956,0.33114035087719296
0020,0.04310344827586207,0.15873015873015872,0.27155172413793105
0021,0.04430379746835443,0.17647058823529413,0.2510548523206751
0022,0.020876826722338204,0.09433962264150944,0.22129436325678498
0023,0.02268041237113402,0.10891089108910891,0.20824742268041238
0024,0.03665987780040733,0.1836734693877551,0.19959266802443992
0025,0.14991181657848324,0.5120481927710844,0.2927689594356261
0026,0.09212730318257957,0.34375,0.26800670016750416
0027,0.060897435897435896,0.2111111111111111,0.28846153846153844
0028,0.020634920634920634,0.07471264367816093,0.2761904761904762
0029,0.0265625,0.09550561797752809,0.278125
0030,0.009523809523809525,0.033707865168539325,0.28253968253968254
0031,0.06412213740458016,0.20192307692307693,0.31755725190839695
0032,0.03571428571428571,0.14556962025316456,0.2453416149068323
0033,0.017350157728706624,0.09821428571428571,0.17665615141955837
0034,0.023734177215189875,0.16666666666666666,0.14240506329113925
0035,0.0189873417721519,0.13186813186813187,0.1439873417721519
0036,0.017488076311605722,0.13095238095238096,0.13354531001589826
0037,0.019448946515397084,0.13793103448275862,0.14100486223662884
0038,0.026217228464419477,0.19718309859154928,0.13295880149812733
0039,0,0,0.11570247933884298

# 活躍使用者的趨勢為何？
# 開始日期：20251206
# 結束日期：20260114
第 N 天,30 天,7 天,1 天
0000,23,23,23
0001,37,37,19
0002,58,58,24
0003,69,69,13
0004,79,79,14
0005,84,84,9
0006,90,90,8
0007,114,96,26
0008,211,179,99
0009,262,208,55
0010,288,223,30
0011,307,233,29
0012,317,236,17
0013,351,264,40
0014,369,263,24
0015,386,187,22
0016,395,146,18
0017,406,133,14
0018,414,118,13
0019,456,151,50
0020,464,126,20
0021,474,119,21
0022,479,106,10
0023,485,101,11
0024,491,98,18
0025,567,166,85
0026,597,160,55
0027,624,180,38
0028,630,174,13
0029,640,178,17
